periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah_penduduk,rasio_jenis_kelamin,jumlah_kepadatan
2023,JAKARTA SELATAN,CILANDAK,PONDOK LABU,Perempuan,29713,97.44,16798.97
2023,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,Perempuan,13663,98.27,16941.02
2023,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,Perempuan,16725,96.71,13787.84
2023,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,Perempuan,1542,90.6,2293.45
2023,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,Perempuan,5622,98.15,7842.82
2023,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,Perempuan,8655,101.21,13929.04
2023,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,Perempuan,1663,92.3,2229.8
2023,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,Perempuan,3426,93.72,10192.22
2023,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,Perempuan,1657,93.48,2244.48
2023,JAKARTA SELATAN,KEBAYORAN BARU,PULO,Perempuan,3510,89.69,6039.09
2023,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,Perempuan,6956,98.26,16179.25
2023,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,Perempuan,24700,97.87,31112.14
2023,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,Perempuan,20904,100.12,24624.99
2023,JAKARTA SELATAN,PANCORAN,PANCORAN,Perempuan,12415,100.39,17777.65
2023,JAKARTA SELATAN,PANCORAN,KALIBATA,Perempuan,26736,99.34,22646.35
2023,JAKARTA SELATAN,PANCORAN,RAWAJATI,Perempuan,13657,97.11,18223.18
2023,JAKARTA SELATAN,PANCORAN,DUREN TIGA,Perempuan,17232,101.27,17340.57
2023,JAKARTA SELATAN,PANCORAN,PENGADEGAN,Perempuan,13655,98.55,27904.32
2023,JAKARTA SELATAN,PANCORAN,CIKOKO,Perempuan,6497,98.72,19356.25
2023,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,Perempuan,41209,99.73,16205.74
2023,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,Perempuan,37742,101.51,13649.09
2023,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,Perempuan,25952,99.01,14182.84
2023,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,Perempuan,34685,100.93,22108.43
2023,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,Perempuan,25790,99.86,14408.66
2023,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,Perempuan,26170,98.81,12872.02
2023,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,Perempuan,17633,100.29,18248.13
2023,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,Perempuan,34061,98.96,14823.25
2023,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,Perempuan,34911,99.2,24777.52
2023,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,Perempuan,23872,98.84,22248.76
2023,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,Perempuan,26135,100.45,25620.68
2023,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,Perempuan,19693,100.6,54744.52
